Hugo_Symbol,gene length,silent,nonsense,splice site,missense,recurrent missense,normalized missense position entropy,frameshift indel,inframe indel,normalized mutation entropy,lost start and stop,missense to silent,non-silent to silent,inactivating p-value,entropy p-value,vest p-value,combined p-value,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,3'UTR,5'Flank,5'UTR,COULD_NOT_DETERMINE,DE_NOVO_START_IN_FRAME,DE_NOVO_START_OUT_FRAME,Frame_Shift_Del,Frame_Shift_Ins,IGR,In_Frame_Del,In_Frame_Ins,Intron,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,RNA,START_CODON_INS,START_CODON_SNP,Silent,Splice_Site,Translation_Start_Site,DEL,DNP,INS,SNP,TNP,pnum,cadd_mean,cadd_var,proteome_mean,proteome_var,amp_mean,amp_var,amp_freq,del_mean,del_var,del_freq,abs_mean,abs_var,abs_freq,exp_mean,exp_var,methy_mean,methy_var,Phosphoproteome_mean_in_LUAD,Phosphoproteome_var_in_LUAD,class
FGFR3,2427.0,0.0,0.0,0.0,0.5,0.0,1.0,0.5,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.3291639236339697,0.694930679451475,859387.6,222.0,0.04176044,0.0003301336253256,38.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,23.8,0.0,22.38831957824558,0.2732951570818658,0.2463509090909091,0.0149788443490909,11.0,-0.2422031578947368,0.0123328609005847,19.0,0.2437239999999999,0.0128241307972413,30.0,3.258245486994445,0.0837062977069338,0.0458387691624168,0.0103006381993757,17.560262287824138,0.4274914310680022,1
KRAS,570.0,0.0,0.0,0.0,1.0,0.9142857142857144,0.1087587570569768,0.0,0.0,0.0976182415201891,0.0,35.0,35.0,1.0,0.0,0.0,2.402585092994044e-09,259193.5,512.0,0.0163317999999999,0.0002688487762933,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,35,31.045714285714283,6.216672268907562,24.62245811358868,0.0443346383121544,0.36723,0.0816911527909091,23.0,-0.2240133333333333,0.0140970121188405,24.0,0.2940980851063829,0.0513550423679925,47.0,3.5978449610985312,0.0034517717265343,0.0669795010209979,0.017966164162237,20.715476093356216,0.5110193164887934,1
MAP2K1,1182.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.1495215311004784,0.4336595209004788,506284.5,172.0,0.04311826,0.0001696932650654,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,25.9,0.0,26.41818044273636,0.0547318286438662,0.4023274999999999,0.0554629883583333,4.0,-0.2219962264150943,0.01177194993164,53.0,0.2346510526315789,0.0160621355488721,57.0,3.528972580735162,0.0022722429813142,0.0592094505971922,0.0019019225845617,21.47164732313536,0.1836710329647898,1
MET,4227.0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.1822489520685256,1.0,0.7189072609633357,0.9561631293611114,558228.1,262.0,0.002308467,7.149723603019666e-05,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2,28.380000000000003,148.60879999999997,23.826263219534027,0.5510361016488889,0.2480405555555555,0.0219698874453968,36.0,-0.2273559999999999,0.0228596667822222,10.0,0.2435439130434782,0.0217340324332367,46.0,3.811892102656776,0.025506245189741,0.0424091298464127,0.0112599223783353,21.65263556687865,0.3878947399529716,1
MTOR,7650.0,0.25,0.0,0.0,0.75,0.0,1.0,0.0,0.0,1.0,0.0,1.5,1.5,1.0,1.0,0.5353319057815846,0.8698438649928538,577167.0,416.0,0.03177134,0.0011287275307097,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4,20.9525,63.19235833333334,26.26385926228809,0.0316298404586896,0.2055657142857143,0.0111765415957142,21.0,-0.2116554166666666,0.0090766578867753,24.0,0.2088135555555555,0.0098343024870707,45.0,3.70532670234817,0.0012693470272181,0.0941884729704038,0.0162723869202579,24.27714333157456,0.0827207186415791,1
NF1,8520.0,0.2352941176470588,0.2352941176470588,0.0,0.5294117647058824,0.0,1.0,0.0,0.0,0.884870333120835,0.0,1.8,2.6,0.0449054739772778,1.0,0.9569377990430622,0.9990592204945208,462448.7,396.0,0.02610505,8.026580002201245e-05,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,17.0,0.0,14,25.986882352941176,128.66268011029413,24.090427623432564,0.0547116458154782,0.2303625714285714,0.0118939756431932,35.0,-0.236475,0.0128180950933333,16.0,0.2322801960784312,0.0119415369059607,50.0,3.803339314051515,0.001635235268654,0.0581254030550077,0.0142156247236473,24.55894054629979,0.0856972674599808,1
NRG1,1938.0,0.1666666666666666,0.0,0.0,0.8333333333333334,0.0,1.0,0.0,0.0,1.0,0.0,2.5,2.5,1.0,1.0,0.1188495364868077,0.3719868059387128,28017.54,952.0,-0.03223809,0.0004965965950077,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,6,22.59857142857143,47.95568095238095,22.38831957824558,0.2732951570818658,0.317986923076923,0.1245668150230768,13.0,-0.3032036170212766,0.0224857536757631,47.0,0.3064066666666666,0.0429046097887005,60.0,3.131271867083719,0.0174016312089785,0.1595443684293051,0.0254197387738295,18.254232285017714,1.2055381512031496,1
NTRK1,2391.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,5.0,1.0,1.0,0.0507433906733648,0.2020081139990077,1505782.0,208.0,0.04542559,0.0551725831502489,1945.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5,20.9734,81.5009878,22.38831957824558,0.2732951570818658,0.3214262025316455,0.024142560103343,78.0,-0.269665,0.00562118045,2.0,0.3201481481481481,0.0236745875677777,80.0,2.3427583316246103,0.1150640323997939,0.1218027674579312,0.0218173320952309,20.715476093356216,0.5110193164887934,1
NTRK2,2517.0,0.1666666666666666,0.3333333333333333,0.1666666666666666,0.3333333333333333,0.0,1.0,0.0,0.0,0.6934264036172708,0.0,1.0,2.5,0.00887,1.0,0.9090909090909092,0.9957365270948408,17423.62,692.0,0.001115233,4.81741941777915e-05,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,6,32.2,29.76,14.379130627796846,0.6622577219645437,0.167702,0.00170039462,5.0,-0.2279748936170212,0.0137069071429232,47.0,0.222179423076923,0.0128183699349547,52.0,2.9886944429421654,0.0584097436157807,0.1993476875520853,0.0270727851139193,20.715476093356216,0.5110193164887934,1
NTRK3,2520.0,0.2857142857142857,0.0,0.0714285714285714,0.6428571428571429,0.0,1.0,0.0,0.0,0.9624786378518296,0.0,1.8,2.0,0.7490636704119851,1.0,0.1829156758734224,0.4936400255922558,124518.7,730.0,-0.05718258,1.3255979225576116e-05,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,15,21.5584375,71.39873812916667,22.38831957824558,0.2732951570818658,0.35137,0.0336131441499999,5.0,-0.2286610204081633,0.0118114385135204,49.0,0.2400229629629629,0.0145229817306778,54.0,2.949261158376836,0.0473411490373063,0.1394206165384277,0.0278520496695029,20.715476093356216,0.5110193164887934,1
PIK3CA,3207.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,4.0,1.0,1.0,0.0992161920825478,0.3284506450414466,401889.3,613.0,0.01079402,0.0002360604864787,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3,28.2,18.160000000000004,22.640573320981108,0.0274325092883951,0.2161872413793103,0.0119342196278325,29.0,-0.231876,0.0102433422673684,20.0,0.2225908163265305,0.0110769815159863,49.0,3.58148328322404,0.0014411884874092,0.0289453724880302,0.0013497398083535,21.78032852105592,0.2237083046117229,1
PPP2R1A,1770.0,0.25,0.0,0.0,0.75,0.0,1.0,0.0,0.0,1.0,0.0,1.5,1.5,1.0,1.0,0.2399232245681382,0.5823983455976647,478210.6,896.0,-0.03843337,0.0021301383204943,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,3,23.9725,68.83635833333334,28.443384271850828,0.0160037685880177,0.2377564285714285,0.0258995839785714,14.0,-0.2200488095238095,0.0130161494253774,42.0,0.2244757142857143,0.0158845290140259,56.0,3.6917459040299816,0.0017533497830565,0.0832782835585333,0.0177095595550016,20.715476093356216,0.5110193164887934,1
RET,3345.0,0.0,0.25,0.0,0.75,0.0,1.0,0.0,0.0,1.0,0.0,3.0,4.0,0.4214075010535188,1.0,0.2051702913418137,0.5301425841614721,454068.1,563.0,-0.01916108,0.0001403082504264,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4,27.725,40.71583333333332,17.54247097150141,2.53258479420937,0.1845263636363636,0.0076843803454545,11.0,-0.2205016,0.0080143823223333,25.0,0.2095091666666667,0.007973581825,36.0,2.808889599819873,0.1556007213762196,0.0851961827227739,0.021342550172421,16.843853884444382,1.2123623342224252,1
SMARCA4,5040.0,0.0769230769230769,0.1538461538461538,0.0769230769230769,0.5384615384615384,0.0,1.0,0.0769230769230769,0.0769230769230769,0.8336995972754957,0.0,3.5,6.0,0.0587544065804935,1.0,0.1526717557251908,0.4396129846789559,1984564.0,190.0,0.04046629,0.0011947079100357,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,11.0,0.0,12,31.417454545454543,126.51839127272726,24.86711258223192,0.103744775084391,0.1716766666666666,0.0020093035866666,6.0,-0.2184157142857143,0.0134708242583333,49.0,0.213316909090909,0.0123763598884175,55.0,3.677571526600215,0.0049333001966177,0.0554458482181155,0.0129303241444187,25.25415280282941,0.1795807420565523,1
STK11,1302.0,0.0526315789473684,0.2631578947368421,0.0526315789473684,0.3684210526315789,0.0,1.0,0.2105263157894736,0.0526315789473684,0.5636351232774376,0.0,3.5,9.0,0.0007099999999999,1.0,0.1643385373870172,0.4611054603844684,2214581.0,234.0,0.02882151,0.0002358905073034,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,4.0,14.0,0.0,20,33.518142857142855,107.56756213186816,20.34146538979889,0.1071059047617327,0.1707471428571428,0.0028081969238095,7.0,-0.2180724999999999,0.0129644676465686,52.0,0.212457627118644,0.0119285306287551,59.0,3.4448433390025577,0.0057009383504939,0.0591421980263124,0.0233095628908095,23.07380786091262,0.4762531542516898,1
TP53,1182.0,0.0428571428571428,0.1142857142857142,0.0428571428571428,0.7,0.1428571428571428,0.9363560438654523,0.0857142857142857,0.0142857142857142,0.7739268477069676,0.0,12.25,16.75,0.00474,0.02684,0.0,4.329503346708236e-06,2069567.0,213.0,0.03424378,0.0165046193260104,833.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,50.0,8.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0,1.0,2.0,63.0,0.0,67,28.2168253968254,31.86541879160266,20.90011927802899,0.722221169348948,0.25511,0.0009007201,3.0,-0.2587794285714286,0.0175434401764803,70.0,0.2586286301369864,0.0168380214786529,73.0,3.4347180152589707,0.0089024696169387,0.0656290711858052,0.0097031908414312,20.66994346799109,1.4628910089989489,1
AP000812.5,2165.453500045633,0.2356042882615762,0.0526435572028951,0.0215204677495176,0.6686918741811249,0.0001376401614766,0.9998683014815472,0.0173268880750288,0.0015884226893291,0.9899449324980184,0.0026245018405281,1.2830489648823968,1.4740405976522657,0.8740974555764096,0.9997286520032856,0.5251519651795693,0.7527603621408234,597495.5325773084,477.3295061777369,0.0172158450890399,0.0001211400236943,19.50378753308388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,22.2,0.0,22.38831957824558,0.2732951570818658,0.2439837577023083,0.0263409212213065,24.76814004376368,-0.2160694250770577,0.0154478404218812,23.714210664565275,0.2382575554713608,0.0220873076754659,48.45601750547046,0.2841937795997512,0.3887710635866525,0.055959035296773,0.0123608124970973,20.715476093356216,0.5110193164887934,0
TRAV1-1,2165.453500045633,0.2356042882615762,0.0526435572028951,0.0215204677495176,0.6686918741811249,0.0001376401614766,0.9998683014815472,0.0173268880750288,0.0015884226893291,0.9899449324980184,0.0026245018405281,1.2830489648823968,1.4740405976522657,0.8740974555764096,0.9997286520032856,0.5251519651795693,0.7527603621408234,597495.5325773084,477.3295061777369,0.0172158450890399,0.0001211400236943,19.50378753308388,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,11.89,0.0,22.38831957824558,0.2732951570818658,0.2439837577023083,0.0263409212213065,24.76814004376368,-0.2160694250770577,0.0154478404218812,23.714210664565275,0.2382575554713608,0.0220873076754659,48.45601750547046,2.8268395389809275,0.1110072453572397,0.1239561871940229,0.0154937824171131,20.715476093356216,0.5110193164887934,0
F9,1386.0,0.1428571428571428,0.0,0.0,0.7142857142857143,0.0,1.0,0.1428571428571428,0.0,1.0,0.0,2.5,3.0,1.0,1.0,0.1642305797339464,0.4609104721015664,69359.77,477.4336372847011,-7.954279e-05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,7,20.052,78.74825600000001,25.65006051714344,0.2386480911384876,0.2776629166666666,0.0383206372998188,24.0,-0.215936,0.00808372093,5.0,0.2670203448275862,0.0331955691820197,29.0,0.0500663237983363,0.0428729130970926,0.1239561871940229,0.0154937824171131,22.24814139419681,0.8494005727625693,0
PUS1,1284.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0108906362309686,0.0601146993131358,597317.7823636307,477.4336372847011,0.0172016246025543,2.7903658247533727e-05,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,33.0,0.0,24.35709122835889,0.1435712208301831,0.24277,0.0202617310421052,20.0,-0.1965234782608696,0.0050015780418972,23.0,0.2180334883720929,0.0123306466470653,43.0,3.284840384430632,0.0057848747697506,0.0628328438398589,0.0163962824987938,22.442396428239583,0.1502948364268842,0
NCKAP1,3405.0,0.5,0.0,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,1.0,1.0,0.8779631255487269,0.9922306272739642,350473.8,419.0,0.01041814,5.528613039353232e-05,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2,15.826,73.78695199999999,26.230148953805298,0.0445339995899112,0.191166,0.0052111739094736,20.0,-0.1846492307692307,0.0095967538576923,13.0,0.1885987878787879,0.0067033734109848,33.0,3.810528565645913,0.0014781151853362,0.125391782945385,0.0092464684631704,21.40114717535805,2.1645868646087494,0
MIR31HG,2165.453500045633,0.2356042882615762,0.0526435572028951,0.0215204677495176,0.6686918741811249,0.0001376401614766,0.9998683014815472,0.0173268880750288,0.0015884226893291,0.9899449324980184,0.0026245018405281,1.2830489648823968,1.4740405976522657,0.8740974555764096,0.9997286520032856,0.5251519651795693,0.7527603621408234,597495.5325773084,477.3295061777369,0.0172158450890399,0.0001211400236943,19.50378753308388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,20.5,0.0,22.38831957824558,0.2732951570818658,0.2494627272727272,0.0357457419618181,11.0,-0.3462530357142856,0.1419060406360714,56.0,0.3303620895522387,0.1249761010773858,67.0,2.8268395389809275,0.1110072453572397,0.1239561871940229,0.0154937824171131,20.715476093356216,0.5110193164887934,0
