Hugo_Symbol,gene length,silent,nonsense,splice site,missense,recurrent missense,normalized missense position entropy,frameshift indel,inframe indel,normalized mutation entropy,lost start and stop,missense to silent,non-silent to silent,inactivating p-value,entropy p-value,vest p-value,combined p-value,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,3'UTR,5'Flank,5'UTR,COULD_NOT_DETERMINE,DE_NOVO_START_IN_FRAME,DE_NOVO_START_OUT_FRAME,Frame_Shift_Del,Frame_Shift_Ins,IGR,In_Frame_Del,In_Frame_Ins,Intron,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,RNA,START_CODON_INS,START_CODON_SNP,Silent,Splice_Site,Translation_Start_Site,DEL,DNP,INS,SNP,TNP,pnum,cadd_mean,cadd_var,proteome_mean,proteome_var,amp_mean,amp_var,amp_freq,del_mean,del_var,del_freq,abs_mean,abs_var,abs_freq,exp_mean,exp_var,methy_mean,methy_var,Phosphoproteome_mean_in_UCEC,Phosphoproteome_var_in_UCEC,class
FGFR3,2427.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.7575757575757576,0.9679028307562724,859387.6,222.0,0.04176044,0.0003301336253256,38.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,5,13.133666666666665,62.35928866666668,22.487509290002507,0.3013711308299261,0.4480766666666666,0.1924205797866666,6.0,-0.2398727272727273,0.0298969471218181,11.0,0.3133564705882352,0.0893355014617647,17.0,3.1868540181494898,0.0619357010814759,0.0246955842194615,0.0008186614320547,14.975779730334525,1.0725209837062704,1
KRAS,570.0,0.0,0.0,0.0,1.0,0.8823529411764706,0.2849006336264894,0.0,0.0,0.2849006336264893,0.0,34.0,34.0,1.0,0.0,0.0,2.402585092994044e-09,259193.5,512.0,0.0163317999999999,0.0002688487762933,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,32,29.552941176470583,5.721354723707671,23.85859845807764,0.0564792561697894,0.2246407692307692,0.0112885939243589,13.0,-0.39802,0.0303176280047028,1.0,0.237025,0.01256740895,14.0,3.5790259778903275,0.001297414807969,0.0445039449614972,0.0045190814127885,20.34292408279301,0.5862452864257927,1
MDM2,1494.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,541242.9,228.0,0.03186443,0.010626036146346,733.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,11.1,0.0,15.59836384545313,0.0659258545376759,0.22107,0.0115650486727272,12.0,-0.22322,0.0144139662,4.0,0.2216075,0.0113647534333333,16.0,3.802946713456784,0.0045287966029391,0.0532839597000964,0.0031073817938809,18.88163243538692,0.3554959910215258,1
MET,4227.0,0.0,0.1666666666666666,0.0,0.8333333333333334,0.0,1.0,0.0,0.0,1.0,0.0,5.0,6.0,0.5485463521667581,1.0,0.2975304968759298,0.6582084346155813,558228.1,262.0,0.002308467,7.149723603019666e-05,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4,25.865,116.93575,22.679013163939075,0.3489687656675893,0.2850268421052631,0.0181191860339181,19.0,-0.195074,0.00168461563,5.0,0.2662866666666666,0.015865770431884,24.0,3.686153650250372,0.0262456558884894,0.0267399968419659,0.0019166589430766,20.27494221284768,0.3411923219196693,1
MTAP,852.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5060728744939271,0.8507462547194716,223932.3,357.0,-0.02803257,0.0001650267434443,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2,14.146,160.34823200000002,26.542911026562383,0.0925921956023923,0.1758128571428571,0.0060380648571428,7.0,-0.2809181818181818,0.0100085628363636,11.0,0.2400438888888889,0.0107983048016339,18.0,3.6031585785031455,0.0020971954752813,0.0967658717259739,0.0015852942446035,20.34292408279301,0.5862452864257927,1
MTOR,7650.0,0.0666666666666666,0.1333333333333333,0.0,0.8,0.0,1.0,0.0,0.0,0.9658722633586913,0.0,6.0,7.0,0.4089979550102249,1.0,0.1122838535818549,0.357817786537111,577167.0,416.0,0.03177134,0.0011287275307097,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,12,27.561866666666667,87.94048655238096,24.5443327569445,0.023441654503422,0.2161712499999999,0.0095014177839285,7.0,-0.2001722222222222,0.0036357106194444,9.0,0.2077011764705882,0.0060424820610294,15.0,3.764155680826176,0.001184855897404,0.065772194253052,0.0001744186019704,24.137656483064347,0.3797877431170351,1
NF1,8520.0,0.0869565217391304,0.2608695652173913,0.0869565217391304,0.4782608695652174,0.0,1.0,0.0434782608695652,0.0434782608695652,0.7065670880645738,0.0,3.6666666666666665,7.0,0.00125,1.0,0.9784735812133072,0.999766626009308,462448.7,396.0,0.02610505,8.026580002201245e-05,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,11.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,22.0,0.0,10,29.335636363636365,90.32880176623374,24.31858247710075,0.1049818662794272,0.31109875,0.0649865837553571,8.0,-0.2951655555555555,0.0100197236027777,9.0,0.3026635294117646,0.0335086921992647,16.0,3.797285737035053,0.0010497702418589,0.0365533655610724,0.0019987638817485,24.315746475049544,0.1428950711357846,1
NRG1,1938.0,0.1,0.0,0.0,0.9,0.0,1.0,0.0,0.0,1.0,0.0,4.5,4.5,1.0,1.0,0.0211416490486257,0.1026746362684543,28017.54,952.0,-0.03223809,0.0004965965950077,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,12,21.7505,40.71095236842104,22.487509290002507,0.3013711308299261,0.2592365,0.0191717952976315,20.0,-0.4356899999999999,0.1476450598,4.0,0.2886454166666666,0.0396080615476449,24.0,3.096935028063493,0.0228357445951412,0.3690395263722498,0.0494362166827827,16.70953216957285,0.8927256260867634,1
NTRK1,2391.0,0.1428571428571428,0.0,0.0,0.8571428571428571,0.0,1.0,0.0,0.0,1.0,0.0,3.0,3.0,1.0,1.0,0.0812017864393016,0.2850846960269997,1505782.0,208.0,0.04542559,0.0551725831502489,1945.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,6,23.60671428571429,68.07334890476191,22.487509290002507,0.3013711308299261,0.3679,0.0461530535588235,35.0,-0.2644634616655457,0.0303176280047028,6.973492945703292,0.3679,0.0461530535588235,35.0,1.936787921388884,0.3172040423356915,0.0639720754625126,0.005976569785052,20.34292408279301,0.5862452864257927,1
NTRK2,2517.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,5.0,1.0,1.0,0.2233638597274961,0.5581758273975497,17423.62,692.0,0.001115233,4.81741941777915e-05,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4,23.746,43.05458,22.487509290002507,0.3013711308299261,0.1490425,0.002031512625,4.0,-0.2925205882352941,0.0145300754058823,17.0,0.2651914285714286,0.0152617524628571,21.0,3.0888239264075565,0.0945944985425057,0.1149985353151449,0.003066459643288,20.34292408279301,0.5862452864257927,1
NTRK3,2520.0,0.1111111111111111,0.0,0.0,0.8888888888888888,0.0,1.0,0.0,0.0,1.0,0.0,4.0,4.0,1.0,1.0,0.2222716159146477,0.5565359301753803,124518.7,730.0,-0.05718258,1.3255979225576116e-05,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,6,22.66472727272728,49.76512581818182,21.27452280666311,1.300899155885509,0.1743025,0.0011380592916666,4.0,-0.2201566666666666,0.0094625925515151,12.0,0.208693125,0.00758736731625,16.0,2.899181521203907,0.0843642263107768,0.1819176589730155,0.034338687878829,20.34292408279301,0.5862452864257927,1
PIK3CA,3207.0,0.0,0.0,0.0,0.9402985074626866,0.5074626865671642,0.7639668816662918,0.0149253731343283,0.044776119402985,0.7400829592678191,0.0,63.0,67.0,1.0,0.0,0.0,2.402585092994044e-09,401889.3,613.0,0.01079402,0.0002360604864787,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,63.0,0.0,48,27.32698412698413,11.651034306195596,22.278542816984043,0.0976441472649864,0.2899314285714285,0.0239088185628571,21.0,-0.14431,0.0303176280047028,1.0,0.2833122727272727,0.0237341943231601,22.0,3.5510934728734136,0.002330251146111,0.0307364548282049,3.437942665981415e-05,20.62570851247719,0.413789106962088,1
PPP2R1A,1770.0,0.2222222222222222,0.0,0.0,0.7777777777777778,0.5555555555555556,0.4092232318950599,0.0,0.0,0.5930629109116868,0.0,2.333333333333333,2.333333333333333,1.0,0.00013,0.08915,0.0001433089312733,478210.6,896.0,-0.03843337,0.0021301383204943,205.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,11,26.95209090909091,121.0673360909091,28.17341040305127,0.0208621970759279,0.2685775,0.0341941275357142,8.0,-0.26439625,0.0168575082267857,8.0,0.266486875,0.0238287587829166,16.0,3.747202954828736,0.0010706050753686,0.0668810283846402,0.0029782879156065,20.34292408279301,0.5862452864257927,1
PTEN,1212.0,0.0,0.216,0.016,0.48,0.232,0.7158594617188678,0.288,0.0,0.4255841274299811,0.0,60.0,125.0,0.0,0.0,0.00021,4.406078983365577e-08,259677.5,300.0,0.03373138,0.0007879442241884,90.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,11.0,0.0,0.0,0.0,0.0,59.0,26.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,27.0,0.0,11.0,89.0,0.0,75,34.274157303370785,26.141938202247182,23.185248205958835,0.3784125390234427,0.2769162962962963,0.019005812962678,27.0,-0.2803033333333333,0.0947306997866666,6.0,0.2775321212121212,0.0302456547859848,33.0,3.742080518302144,0.0036807441144239,0.0594936875944976,0.0045509052949689,22.375497018331288,0.4331927609018617,1
RET,3345.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,1.0,0.0,1.6666666666666667,1.6666666666666667,1.0,1.0,0.2773155851358846,0.6330003119193361,454068.1,563.0,-0.01916108,0.0001403082504264,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,11,15.315,79.38524642857145,22.487509290002507,0.3013711308299261,0.2851785714285714,0.0182845853830687,28.0,-0.2273966666666667,0.0020019102333333,3.0,0.2795867741935484,0.0168911519092473,31.0,2.6425649092294363,0.1336363467808255,0.0546913606555115,0.0105762060691873,13.373848671295375,1.7678237595907618,1
TP53,1182.0,0.0416666666666666,0.1666666666666666,0.0416666666666666,0.625,0.0,1.0,0.0833333333333333,0.0416666666666666,0.8032382630265267,0.0,7.5,11.5,0.0261793811194303,1.0,6e-05,0.0006432699597445,2069567.0,213.0,0.03424378,0.0165046193260104,833.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,15.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,21.0,0.0,23,28.131666666666668,52.54925833333332,21.028031585414706,0.6722486074395251,0.2113533333333333,0.0051897919866666,6.0,-0.2493290909090908,0.0102141952090909,11.0,0.2359258823529411,0.0083556174382352,17.0,3.549097040433141,0.0063978739227823,0.0592466958522609,0.0006809528868935,21.79634294977772,0.7835376761188568,1
PABPC1,1911.0,0.5,0.0,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,1.0,1.0,0.5015045135406219,0.8476141783047375,1141833.0,276.0,0.04103006,0.00097476226192,226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2,21.495,220.71005,26.372769655970764,0.066814608870039,0.4056038461538461,0.1098258993206153,26.0,-0.23813,0.0303176280047028,1.0,0.3994011111111111,0.1066406221641025,27.0,3.93413827376234,0.0026045272440151,0.0322252006316996,0.0028777110437202,17.455020741014895,0.2126104652763034,0
LFNG,1938.063189568706,0.2347823368159056,0.0588042809393831,0.0136739047332758,0.6428256089742431,0.0009967886749183,0.99921532758391,0.0449804735941721,0.0033157494150929,0.9672006894641492,0.0016176455279269,1.717432076540993,2.096642384650469,0.8335989392433482,0.997473344569529,0.4969541694496251,0.7351606138763213,628546.7170199985,454.053337718543,0.0191374513533432,0.0001285428746511,20.76342360414577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,10.79,0.0,19.360183726260203,0.2946908341639155,0.2666435,0.0197871716344736,20.0,-0.262274,0.01602429458,5.0,0.2657696,0.0183387420623333,25.0,3.27702383663942,0.0238131624222141,0.095229699639625,0.0056725881814614,20.34292408279301,0.5862452864257927,0
PGBD2,1779.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,4.0,1.0,1.0,0.6035003017501509,0.9082732277878248,628464.2070903856,454.1716887539794,0.0191206869507081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4,15.4855,38.70854766666667,20.308208076423945,0.2971678027127992,0.2521597143758343,0.0288347392278441,12.438422023182298,-0.2644634616655457,0.0303176280047028,6.973492945703292,0.2695940890589254,0.0322971464262917,18.874868282402527,3.278728292108502,0.004208591878692,0.0280031241879369,0.0037631452464421,20.34292408279301,0.5862452864257927,0
LSR,1950.0,0.2,0.0,0.0,0.4,0.0,1.0,0.4,0.0,0.8277293767706428,0.0,1.0,2.0,1.0,1.0,0.4088307440719542,0.7745110536651597,767246.2,472.0,0.007166916,8.7033807363507e-05,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,6,17.298000000000002,91.16182000000002,24.54453856897776,0.1982097157239813,0.3579330769230768,0.0674583652564102,13.0,-0.225324,0.00655399363,5.0,0.3210972222222221,0.05289519709183,18.0,3.5592417883802363,0.0051906377186871,0.0731453417317351,0.0001731553298465,23.98605441095568,0.1244028503490952,0
SLC6A11,1899.0,0.6,0.0,0.0,0.4,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,1.0,1.0,0.8368200836820083,0.9858963894422376,225460.2,545.0,0.02959822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2,16.311799999999998,70.89881620000001,22.487509290002507,0.3013711308299261,0.2054844444444444,0.0061843651277777,9.0,-0.2921066666666667,0.0227656124666666,6.0,0.2401333333333333,0.0135939469380952,15.0,2.4145064348909924,0.0900729889543898,0.4618961807345633,0.0502807500142598,20.34292408279301,0.5862452864257927,0
QPRT,894.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6067961165048543,0.9099286598830582,628464.2070903856,454.1716887539794,0.0191206869507081,0.0001639053190378,46.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2,15.344,85.96227199999998,27.14048672594049,0.3766443171337701,0.2090136363636363,0.0204671378654545,11.0,-0.2384466666666666,0.0203433572333333,3.0,0.2153207142857142,0.019030776437912,14.0,3.5517833337377147,0.0213302893724461,0.1188333680141596,0.0062740973822558,20.34292408279301,0.5862452864257927,0
LRRN4,2223.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.9363295880149812,0.9979285960093662,301251.5,351.0,-0.005811256,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3,6.773666666666667,32.59914233333334,15.4498540372103,2.8745713557325443,0.3337822222222221,0.0968658484300653,18.0,-0.149455,0.0010918464499999,2.0,0.3153494999999999,0.0899457376049999,20.0,2.641048582034896,0.109590006770708,0.1188333680141596,0.0062740973822558,20.34292408279301,0.5862452864257927,0
