Hugo_Symbol,gene length,silent,nonsense,splice site,missense,recurrent missense,normalized missense position entropy,frameshift indel,inframe indel,normalized mutation entropy,lost start and stop,missense to silent,non-silent to silent,inactivating p-value,entropy p-value,vest p-value,combined p-value,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,3'UTR,5'Flank,5'UTR,COULD_NOT_DETERMINE,DE_NOVO_START_IN_FRAME,DE_NOVO_START_OUT_FRAME,Frame_Shift_Del,Frame_Shift_Ins,IGR,In_Frame_Del,In_Frame_Ins,Intron,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,RNA,START_CODON_INS,START_CODON_SNP,Silent,Splice_Site,Translation_Start_Site,DEL,DNP,INS,ONP,SNP,TNP,pnum,cadd_mean,cadd_var,proteome_mean,proteome_var,amp_mean,amp_var,amp_freq,del_mean,del_var,del_freq,abs_mean,abs_var,abs_freq,exp_mean,exp_var,methy_mean,methy_var,Phosphoproteome_mean,Phosphoproteome_var,label
EEF2K,2178,0.285714286,0.0,0.047619048,0.619047619,0.0,1.0,0.047619048,0.0,0.978317119,0.0,1.857142857,2.142857143,0.688231246,1.0,0.431406385,0.79409178,522342.7,235.0,0.04424606,3.93e-05,33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,20.0,0.0,19.0,19.16305,85.20277352,23.11662568,0.731632079,0.235028259,0.021680016,201.0,-0.261498621,0.028021485,144.0,0.246121329,0.024435125,345.0,3.542000704,0.007715719,0.024492995,0.000925645,24.75995854,0.433974409,0
UNC13A,5112,0.38961039,0.038961039,0.0,0.545454545,0.0,1.0,0.025974026,0.0,0.975940691,0.0,1.35483871,1.516129032,0.867302689,1.0,0.639386189,0.925349515,1029781.0,246.0,0.03660147,1.5e-05,6,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,43.0,3.0,0.0,0.0,0.0,0.0,28.0,2.0,0.0,1.0,0.0,1.0,0.0,76.0,1.0,62.0,18.42394737,107.1299728,22.56268336,0.295675699,0.317357305,0.05965125,167.0,-0.223345481,0.016156996,208.0,0.26521208,0.037607712,373.0,2.709818948,0.183672297,0.121875273,0.011194519,21.156589,0.814710975,0
ANKRD30BL,777,0.0,0.0,0.0,0.8,0.0,1.0,0.2,0.0,1.0,0.0,4.0,5.0,1.0,1.0,0.450653447,0.809849772,649122.9543,444.4009898,0.019888568,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,5.0,7.3905,14.61904633,21.8870142,1.820461457,0.208912616,0.012867856,172.0,-0.237728118,0.020542776,85.0,0.218443035,0.015520437,257.0,0.591753348,0.658442654,0.1115145,0.01451736,20.06067439,2.32244926,0
ZDHHC22,792,0.5,0.0,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.75,0.75,1.0,1.0,0.643500644,0.927176481,531874.1,235.0,0.0586352,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,6.0,14.77216667,92.48379337,21.8870142,1.820461457,0.234803889,0.020929449,144.0,-0.287089319,0.022940414,279.0,0.269290024,0.022819895,423.0,1.079099855,1.049581262,0.154989136,0.013329098,20.06067439,2.32244926,0
ACSL1,2097,0.380952381,0.047619048,0.047619048,0.523809524,0.0,1.0,0.0,0.0,0.978317119,0.0,1.222222222,1.444444444,0.562113547,1.0,0.936329588,0.997928596,311713.1,515.0,0.02951392,2.97e-06,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3.0,10.0,1.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,21.0,16.16745833,140.1605842,25.92930034,0.559602604,0.204084459,0.019346309,74.0,-0.289620897,0.028739172,301.0,0.272741707,0.02799094,375.0,3.654482483,0.015637862,0.16527796,0.025463511,17.7904536,5.241430752,0
PPM1K,1119,0.222222222,0.222222222,0.0,0.444444444,0.0,1.0,0.111111111,0.0,0.833333333,0.0,1.333333333,2.333333333,0.173460538,1.0,0.570450656,0.890660928,432935.7,304.0,0.02456946,9.74e-07,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,13.0,23.69558333,83.33559954,20.8091592,1.091082235,0.206100652,0.018048261,92.0,-0.249142905,0.017132725,241.0,0.237251351,0.017703611,333.0,3.424504707,0.01714783,0.043507433,0.008451809,21.40942505,3.155012501,0
NUTM1,3483,0.2,0.066666667,0.033333333,0.6,0.0,1.0,0.1,0.0,0.894639489,0.0,2.571428571,3.428571429,0.265745416,1.0,0.698324022,0.949072674,542657.4,234.0,0.0220882,3.6e-05,23,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0,0.0,0.0,0.0,18.0,2.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,2.0,0.0,1.0,0.0,27.0,0.0,23.0,15.21218519,94.03841077,21.8870142,1.820461457,0.196231053,0.012553804,57.0,-0.283939654,0.027954204,289.0,0.269490549,0.026435004,346.0,1.421466361,0.684299692,0.1115145,0.01451736,20.06067439,2.32244926,1
TMEM169,894,0.222222222,0.0,0.0,0.777777778,0.0,1.0,0.0,0.0,1.0,0.0,2.333333333,2.333333333,1.0,1.0,0.081512879,0.285865198,603452.5,419.0,0.03530223,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,19.99455556,86.85158228,19.40419289,0.353611084,0.215466357,0.013973555,140.0,-0.257827652,0.01951247,132.0,0.236024044,0.017049361,272.0,2.676721927,0.107442273,0.042067718,0.010847544,19.00895789,1.426906671,0
KPNA1,1617,0.0,0.125,0.125,0.625,0.0,1.0,0.125,0.0,0.801879687,0.0,5.0,8.0,0.341180484,1.0,0.905797101,0.995416619,413070.0,404.0,0.03434013,0.000210382,73,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,9.0,26.865,43.54780556,24.65461668,0.329042761,0.270124388,0.030482181,294.0,-0.252692692,0.019056671,104.0,0.265569372,0.0274999,398.0,3.603791542,0.002240184,0.040151596,0.007672148,21.15467863,0.768178704,0
VPS39,2628,0.4,0.066666667,0.0,0.466666667,0.0,1.0,0.0,0.066666667,1.0,0.0,1.0,1.285714286,0.753012048,1.0,0.810372771,0.9807625,625464.7,394.0,0.03537727,1.19e-05,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,14.0,19.01133333,128.3633032,24.00179725,0.438052698,0.193823448,0.010925776,58.0,-0.28732023,0.028272073,304.0,0.272340083,0.026634317,362.0,3.590677577,0.003567179,0.055994958,0.005240879,18.69213373,2.491550494,0
IL9,435,0.666666667,0.0,0.0,0.333333333,0.0,1.0,0.0,0.0,1.0,0.0,0.333333333,0.333333333,1.0,1.0,0.915750916,0.996346957,489401.7,443.0,0.01863627,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.6175,4.9015805,21.8870142,1.820461457,0.262055444,0.014405328,169.0,-0.246885792,0.015272739,240.0,0.253153936,0.014934069,409.0,0.076497994,0.07660358,0.1115145,0.01451736,20.06067439,2.32244926,0
CHMP5,660,0.4,0.0,0.2,0.4,0.0,1.0,0.0,0.0,1.0,0.0,0.666666667,1.0,0.619578686,1.0,0.856164384,0.98912062,856502.5,167.0,0.03839118,7.28e-05,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,22.6258,166.3756782,25.74457644,0.158592076,0.274546597,0.035508565,190.0,-0.262413986,0.027540904,296.0,0.267172361,0.030634326,486.0,3.592741336,0.005158742,0.069873798,0.015236507,21.33613075,1.635193129,0
TRIM58,1461,0.285714286,0.028571429,0.057142857,0.628571429,0.0,1.0,0.0,0.0,0.973514051,0.0,2.0,2.272727273,0.453309157,1.0,0.531349628,0.867340617,649122.9543,444.4009898,0.019888568,2.69e-06,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,32.0,14.66658824,101.8313481,16.84626284,1.191069323,0.296182016,0.032455894,367.0,-0.248203214,0.026521976,56.0,0.289830213,0.03187064,423.0,2.825883071,0.142756449,0.464350937,0.044370716,20.06067439,2.32244926,0
ELAVL2,1080,0.0,0.076923077,0.076923077,0.846153846,0.0,1.0,0.0,0.0,0.958424899,0.0,11.0,13.0,0.163025758,1.0,0.300571085,0.661878869,7648.077,719.0,-0.04035431,1.19e-05,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,13.0,28.40733333,55.4663781,19.95428979,7.72781558,0.261916831,0.03390443,142.0,-0.457517022,0.361194374,401.0,0.406553303,0.283084511,540.0,2.272452093,0.546397488,0.195850885,0.029223953,18.92268651,6.579730789,0
ZSCAN4,1302,0.28,0.0,0.0,0.72,0.0,1.0,0.0,0.0,0.982772938,0.0,2.25,2.25,1.0,1.0,0.944287063,0.998418382,532348.8,849.0,-0.03733444,5.45e-08,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,20.0,7.5154,58.14146417,21.8870142,1.820461457,0.28713005,0.037710367,201.0,-0.256987117,0.023445921,163.0,0.273631978,0.031465823,364.0,1.236336155,0.730595329,0.1115145,0.01451736,20.06067439,2.32244926,0
RESP18,687,0.25,0.0,0.0,0.375,0.0,1.0,0.375,0.0,0.801879687,0.0,1.0,2.0,1.0,1.0,0.169549,0.470432911,649122.9543,444.4009898,0.019888568,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,6.0,5.2492,41.6364267,21.8870142,1.820461457,0.216550441,0.014897004,136.0,-0.256397698,0.020199002,139.0,0.236691418,0.017911337,275.0,0.088504762,0.106654775,0.1115145,0.01451736,20.06067439,2.32244926,0
GRIN1,2832,0.277777778,0.0,0.0,0.722222222,0.0,1.0,0.0,0.0,1.0,0.0,2.166666667,2.166666667,1.0,1.0,0.214638334,0.544923982,1722012.0,202.0,0.03571653,5.54e-05,11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,20.0,0.0,20.0,22.5511,80.10182841,24.35402703,0.473456504,0.263816402,0.037068399,190.1320168,-0.262379274,0.034993589,187.6534411,0.272484272,0.039786023,377.6466786,1.719664481,0.84592389,0.380419731,0.032126282,18.52847262,0.857354324,0
EIF3D,1647,0.4,0.0,0.0,0.6,0.0,1.0,0.0,0.0,1.0,0.0,1.2,1.2,1.0,1.0,0.521648409,0.861117091,1184089.0,359.0,0.03841549,4.49e-05,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,11.0,20.84818182,121.5384222,26.54709352,0.234153846,0.250597557,0.054107384,131.0,-0.289671201,0.024996976,283.0,0.277307319,0.034430569,414.0,3.739244405,0.003250915,0.046568617,0.015020553,23.02425282,0.694746818,0
STX1A,867,0.333333333,0.0,0.0,0.333333333,0.0,1.0,0.333333333,0.0,1.0,0.0,0.5,1.0,1.0,1.0,0.835421888,0.985646137,1082063.0,214.0,0.05404935,0.000545292,54,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,7.0,10.0458,77.6423617,21.77272168,14.54539822,0.297747867,0.024597348,361.0,-0.244043889,0.022609552,108.0,0.285381066,0.024602616,469.0,3.074324306,0.042218561,0.029601329,0.005592065,21.69380837,5.933502755,0
CSNK1D,1248,0.166666667,0.083333333,0.0,0.5,0.0,1.0,0.25,0.0,0.814038036,0.0,2.0,3.333333333,0.596302922,1.0,0.301659125,0.663184804,649122.9543,444.4009898,0.019888568,0.000286424,49,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,9.0,0.0,12.0,26.80777778,176.2643944,23.55919911,0.603482567,0.284235138,0.03665131,251.0,-0.227593209,0.01329968,134.0,0.264622687,0.029238451,385.0,3.573628404,0.005816397,0.059219769,0.010738841,24.66216525,1.838870077,0
SLC12A3,3093,0.303030303,0.03030303,0.0,0.636363636,0.0,1.0,0.03030303,0.0,0.987985463,0.0,1.909090909,2.090909091,0.832639467,1.0,0.356760614,0.724470308,785707.5,125.0,0.03662928,2.12e-06,10,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,22.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,32.0,1.0,31.0,17.822125,121.8426961,24.05403672,0.219075822,0.232332071,0.021773909,169.0,-0.29229408,0.026096077,198.0,0.264906027,0.024952095,367.0,1.956282468,0.404442407,0.1115145,0.01451736,22.32375213,4.130956138,0
GDPGP1,1158,0.333333333,0.0,0.0,0.666666667,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.725689405,0.958369501,876944.6,154.0,0.05183754,0.00011295,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,11.06233333,18.71123433,21.57438062,1.064374463,0.298249344,0.053979398,122.0,-0.255590744,0.020836851,215.0,0.271033917,0.033131642,337.0,3.028420729,0.01829287,0.077071827,0.008215288,20.06067439,2.32244926,0
SLC7A1,1890,0.4,0.0,0.0,0.55,0.0,1.0,0.05,0.0,1.0,0.0,1.222222222,1.333333333,1.0,1.0,0.611995104,0.91250367,222765.3,467.0,0.009252094,2.76e-05,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0,0.0,19.0,17.06526316,137.3469536,22.20311379,1.613053765,0.300896349,0.036326209,189.0,-0.277595087,0.023280639,289.0,0.286808347,0.028503552,478.0,3.57463474,0.012950275,0.027303697,0.00439594,17.60690502,1.193448662,0
DNAJC18,1077,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,9.0,9.0,1.0,1.0,0.00857,0.049358808,832126.5,177.0,0.047758,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,8.0,23.74666667,24.7467,17.14499813,0.35969968,0.263271886,0.018095061,175.0,-0.240327031,0.014288485,229.0,0.250266015,0.016026149,404.0,3.231685335,0.018463436,0.1115145,0.01451736,20.06067439,2.32244926,0
ZSWIM4,2970,0.333333333,0.0,0.0,0.666666667,0.0,1.0,0.0,0.0,1.0,0.0,1.714285714,1.714285714,1.0,1.0,0.355745286,0.723422374,754887.8,241.0,0.03097798,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,18.0,16.19980952,108.2857893,21.8870142,1.820461457,0.351180421,0.087265999,189.0,-0.220125781,0.012485352,192.0,0.285310026,0.053853475,380.0,3.115034344,0.031780865,0.041873685,0.006604243,20.06067439,2.32244926,0
SPINT1,1590,0.25,0.0,0.0,0.75,0.0,1.0,0.0,0.0,1.0,0.0,2.25,2.25,1.0,1.0,0.312695435,0.676211887,1036414.0,172.0,0.05061077,1.32e-05,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,12.0,14.70915385,84.39230914,24.67107559,0.646712017,0.191456226,0.011263227,53.0,-0.284319494,0.027056309,316.0,0.270981409,0.025814752,369.0,3.536348192,0.079062894,0.158097672,0.008159311,20.06067439,2.32244926,0
ZNF195,1890,0.2,0.0,0.0,0.8,0.0,1.0,0.0,0.0,0.931744527,0.0,3.0,3.0,1.0,1.0,0.322788896,0.687784617,560133.9,470.0,0.02837096,5.55e-07,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,15.0,12.13268421,28.17474634,17.71843896,2.450200342,0.190068067,0.008072288,118.0,-0.25504547,0.016690988,234.0,0.233140907,0.014700519,352.0,3.429227731,0.004000193,0.113624068,0.009381344,16.5752549,1.506042881,0
CHI3L1,1152,0.571428571,0.0,0.0,0.428571429,0.0,1.0,0.0,0.0,1.0,0.0,0.6,0.6,1.0,1.0,0.651465798,0.930638685,507602.8,453.0,0.03129605,1.93e-06,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,9.241222222,98.59303719,23.27358669,1.731876661,0.288201376,0.031608884,378.0,-0.213196111,0.013129393,36.0,0.281679179,0.030414032,414.0,3.481300559,0.10511446,0.1115145,0.01451736,18.24606421,0.446785446,0
FOLH1,2253,0.0,0.057142857,0.0,0.885714286,0.0,1.0,0.057142857,0.0,0.955437938,0.0,31.0,35.0,0.88028169,1.0,0.0013,0.009939008,11046.46,1009.0,-0.01860155,5.09e-06,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,0.0,1.0,30.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,34.0,0.0,33.0,22.75817647,57.15866385,21.55383505,3.4500904,0.211379143,0.020444329,140.0,-0.256093841,0.023532419,136.0,0.233575647,0.022399475,274.0,3.142803191,0.067335462,0.207449435,0.038296338,20.06067439,2.32244926,1
